trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,65,64,up,0.005,db,0.05069556928683392,1,0.0007677779940422624,172.38792336700135,2.0031239679956343,172.68881912500365,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,66,65,up,0.005,db,0.05072476040343675,0,0.0010922279907390475,174.89452180001535,2.00238066498423,175.19512342801318,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,67,66,up,0.005,db,0.050753968328634505,0,0.0005506220040842891,177.35069960399414,2.0042994059913326,177.65184216201305,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,68,67,up,0.005,db,0.050753968328634505,1,0.0006561569753102958,179.7573299370124,2.0028599169745576,180.05847351701232,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,69,68,up,0.005,db,0.050753968328634505,1,0.0005411920137703419,182.16373226701398,2.0045683330099564,182.46476396999788,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,70,69,up,0.005,db,0.05078319307210578,0,0.0007047099934425205,184.62052329999278,2.003732029988896,184.92084310299833,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,71,70,up,0.005,db,0.05078319307210578,1,0.0006192459841258824,186.97639204000006,2.0040009609947447,187.2771274849947,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,72,71,up,0.005,db,0.05078319307210578,1,0.0010020899935625494,189.43281398701947,2.0015109659871086,189.73412813001778,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,73,72,up,0.005,db,0.05081243464353472,0,0.0006812149949837476,191.82302287200582,2.003624504985055,192.12388924701372,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,74,73,up,0.005,db,0.05081243464353472,1,0.0010049619886558503,194.22954400500748,2.002913271979196,194.53033120001783,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
